text,category
Any facts about improvement after gastric bypass?,pur_student12
How many adult people in US exceeding their ideal body weight by 45 kg?,pur_student12
Does surgery treated in obesity improve the diabetes?,pur_student12
How does morbid obesity treated successfully with surgery help the diabetes?,pur_student12
Is there any data supporting surgery of gastric bypass help the diabetes?,pur_student12
What does gastric bypass operation do?,pur_student12
What does gastric bypass improve the NIDDM?,pur_student12
What is the most grave consequence of sever obesity?,pur_student12
What cause the relationship between obesity and diabetes?,pur_student12
What is NIDDM?,pur_student12
What does bariatric surgery do?,pur_student12
What does sever obesity lead to most gravely?,pur_student12
What is BRFSS?,pur_student12
What kind of disease is obesity?,pur_student12
Which groups of people is obesity increasing in prevalence in?,pur_student12
How many years have the medical profession been known?,pur_student12
What is type 2 diabetes mellitus?,pur_student12
Do 1000 calories of sugar and 1000 calories of fat work the same regard of preventing lose weight?,pur_student12
What is type 1 diabetes mellitus?,pur_student12
"Can I lose weight in a specific part of the body, such as my belly?",pur_student12
What is diabetes mellitus?,pur_student12
Is there a difference if I eat 2000 calories in one meal versus 3 meals?,pur_student12
How many patients did 12 months of follow-up within the bariatric surgery study?,pur_student12
How many patients involved into the bariatric surgery study?,pur_student12
I weigh 190 pounds and I want to lose 20 pounds. How many calories do I need to eat each day to lose weight?,pur_student12
Is any improvement for type 2 diabetes after bariatric surgery?,pur_student12
How many hours I should run each time I go on a run?,pur_student12
Does bariatric surgery help the diabetes?,pur_student12
Which age range is the best for bariatric surgery?,pur_student12
What kinds of approaches to solve obesity by operation in 1950s?,pur_student12
What are the earlier obesity operation solution?,pur_student12
What did the first morbid obesity operation do?,pur_student12
Can I use Vyvanse to treat binge eating disorder?,binge eating
What medications can be used to treat binge eating disorder?,binge eating
What medications can I used to reduce binge eating episodes?,binge eating
Can I use Topamax to reduce binge eating episodes?,binge eating
What is a CPAP machine?,CPAP
Does smoking make sleep apnea worse?,sleep apnea
Are genetic test useful for creating a workout schedule?,binge eating
Is a CPAP machine effective in treating sleep apnea?,CPAP
How is binge eating disorder related to obesity?,binge eating
,
What should I expect from my doctor about binge eating disorder?,binge eating
Do obese women have a lower chance to give birth to a healthy newborn?,gender
"If I want to lose weight, how many calories should I consume every day?",Diet
How is binge eating disorder diagnosed?,binge eating
Is obesity associated with menstrual disorders?,binge eating
Is obesity associated with infertility?,binge eating
How will my doctor diagnose binge eating disorder?,binge eating
Are antidepressants effective in reducing binge eating episodes?,binge eating
Is obesity linked to ethnicity?,Race
What is some treatment of binge eating disorder?,binge eating
Are there any psychiatric disorders connected to binge eating disorder?,binge eating
How does Vyvanse help binge eating episodes?,binge eating
Are there any psychiatric disorders linked to binge eating disorder?,binge eating
Are there any risks associated with obesity screening?,binge eating
,
In what way does the current environment promote obesity?,binge eating
What psychiatric disorders are connected to binge eating disorder?,binge eating
Is obesity prevalent in some developing countries?,location
What is Binge Eating Disorder?,binge eating
What psychiatric disorders are linked to binge eating disorder?,binge eating
What are the symptoms of binge eating disorder?,binge eating
"If my sister had binge eating disorder, could I get it?",binge eating
,
"If my dad had binge eating disorder, could I get it?",binge eating
How can I lose weight while maintaining my current activity habits and diet?,binge eating
,
Are there any alternatives to losing weight to solves problems caused by obesity?,binge eating
What environmental factors discourage people from becoming more active?,binge eating
,
How often do binge eating episodes occur?,binge eating
"If my brother had binge eating disorder, could I get it?",binge eating
Will losing weight increase my chance of pregnancy?,binge eating
Will starvation cure obesity?,binge eating
,
Is obesity linked to addiction?,binge eating
"If my mom had binge eating disorder, could I get it?",binge eating
What is BED?,binge eating
What is the DSM-4 criteria for current binge eating disorder?,binge eating
What is Binge Eating Disorder (BED)?,binge eating
"If I am obese, should I get screened?",binge eating
Is eating in secret a symptom of binge eating disorder?,binge eating
How do I stop binging eating?,binge eating
How do I know if I have binge eating disorder?,binge eating
What is my BMI score?,binge eating
Does binge eating disorder cause obesity?,binge eating
What is BED?,binge eating
Are black women fatter than white women?,binge eating
Is obesity more common in women or men?,binge eating
Will dieting trigger the urge to binge eat?,binge eating
,
Is depression a symptom of binge eating disorder?,binge eating
What age do most people develop binge eating disorder?,binge eating
What health risks are associated with obesity?,binge eating
"If my parents had binge eating disorder, could I get it?",binge eating
What factors can lead to developing binge eating order?,binge eating
Should I see a doctor about binge eating disorder?,binge eating
What are the common causes of obesity?,binge eating
When was binge eating first discovered?,binge eating
What is binge eating?,binge eating
When should I see a doctor about binge eating disorder?,binge eating
Will binge eating cause obesity?,binge eating
Is obesity a symptom of binge eating?,binge eating
Is binge eating more common in men or women?,gender
What BMI is obese for women?,gender
Is obesity a disease?,binge eating
Is obesity contagious?,binge eating
Should I get screened for obesity?,binge eating
Will consuming soft drinks lead to weight gain?,Diet
Is there a relationship between meal frequency and BMI?,Diet
Can fast food consumption cause obesity?,Diet
How do fruits help in preventing obesity?,Diet
What are the key dietary features of fruits?,Diet
Can food insecurity cause obesity?,Diet
How long should I exercise on a weekly basis to prevent weight gain?,Diet
What is the recommendation for bariatric surgery in asians?,Diet
What is the effect of dietary fat on obesity?,Diet
Can physical activity alone be sufficient to lose weight?,Diet
How effective is physical activity when combined with dietary intervention?,Diet
what is a very low calorie diet?,Diet
what are the effects of the different type of diets on weight loss?,Diet
What percentage of U.S adults are overweight?,Diet
what are low fat diets?,Diet
what is a low carbohydrate diet?,Diet
What are the environmental contributions to obesity?,Diet
what are the types of dietary regimens used in treating obesity?,Diet
what is a low calorie diet?,Diet
what is dietary intervention?,Diet
How to set a goal for weight loss?,Diet
,
,
,
,
what is the BMI cutoff for asians in determining obesity?,Race
,
Will eating fruits increase satiety?,Diet
Will breastfeeding act as a potential factor againt weight gain?,Diet
,
What are the advantages of unprocessed fruits over processed fruits?,Diet
How many adults were obese in 2009 in USA?,Race
What is the prevalence among non-Hispanic Asian adults?,Race
What is the prevalence of obesity in Asain.,Race
what is the prevalence of obesity among adults in USA?,Race
How many adults were obese in 2011Š—–2012 in USA?,Race
What is the majority of these obese adults in USA?,Race
"If I am a white men, is the possibility of obesity lower than Asain people?",Race
"If I am a non-Hispanic Asian men, is the possibility of obesity lower than white people?",Race
Is childhood obesity linked to race?,Race
Is childhood obesity related to the ethnicity?,Race
Is childhood obesity related to the income of the family?,Childhood obesity
What Explains Race and Gender Differences in the Relationship between Obesity and Wages?,Race
What are cultural factors associated with racial differences in childhood obesity?,Race
Does obesity relate to the area and the country where I born?,location
Does hunger help me to lose weight?,Diet
Does race affect obesity rates because of biological distinctions?,Race
Why childhood obesity is increasing in nonwhite populations?,Race
What is the prevalence of obesity among non-Hispanic white?,Race
How many children are overweight?,Race
What is the prevalence of childhood obesity in the United States?,Childhood obesity
Does obese children more likely to remain obese as adults?,Race
What is the relationship between ethnicity and obesity?,Race
Does ethnicity affect the proportion of all diabetes among children?,Childhood obesity
What are the differences in the prevalence of obesity among adults by race?,Race
"What are the prevalences of obesity among non-Hispanic Asian adults than among non-Hispanic white, non-Hispanic black, and Hispanic adults?",Race
Is ethnicity linked to childhood obesity?,"Race,Childhood obesity"
Will diet help me to lose weight?,Diet
What is the relationship between ethnicity and childhood obesity?,Race
Is obesity related to ethnicity?,Race
What is the relationship between race and obesity?,Race
Is obesity linked to race?,Race
What factors cause Left Ventricular Mass?,pur_student2
Which age groups are the most obese?,pur_student2
Does my risk of obesity increase as I age?,pur_student2
How prevalent is obesity in middle aged adults?,pur_student2
How prevalent is obesity in young adults?,pur_student2
At what age does the prevalence in obesity begin to fall?,pur_student2
Does the size of the obese population increase with age?,pur_student2
Are there any dangers to be aware of while trying to lose weight?,pur_student2
Does obesity lead to higher social anxiety?,pur_student2
Are there similar health problems that arise in people who are underweight and those who are overweight?,pur_student2
What is the average mortality rate of an obese male age 21?,pur_student2
Are there any safe medications I can take to help lose weight along with diet and exercise?,pur_student2
Are there other factors possibly causing my weight gain besides diet and exercise?,pur_student2
I am overweight and having trouble sleeping. Could this be a problem?,pur_student2
What age group is most likely to be obese?,pur_student2
What effect could obesity have on someone's personality?,pur_student2
What risks do obesity lead to in the future?,pur_student2
Does any race have a higher risk of becoming obese?,pur_student2
Which ages tend to have the fewest obese men?,pur_student2
Which age group tends to have the fewest obese women?,pur_student2
Which gender is more likely to be underweight?,pur_student2
Which age group do people tend to be the least obese?,pur_student2
Which gender is more likely to be normal weight?,pur_student2
Which gender has higher adult obesity rates?,pur_student2
Are middle age men more likely to be obese than normal weight?,pur_student2
Are middle aged women more likely to be obese or normal weight?,pur_student2
Are women more likely to be obese than men?,pur_student2
Are men more likely to be obese than women?,pur_student2
How prevalent is obesity in the elderly?,pur_student2
What is LVM?,pur_student2
Can chocolate help you lose weight?,pur_student3
"If I do not get enough sleep, will I gain weight?",pur_student3
Will I gain weight if I do not get enough sleep?,pur_student3
What is a common treatment for Sleep Apnea?,pur_student3
What are common treatments for obstructive sleep apnea besides a CPAP?,pur_student3
What can I do to mitigate sleep apnea?,pur_student3
What should I not do before bedtime?,pur_student3
What should I do if I am still sleepy despite using my CPAP nightly?,pur_student3
How do I know if I have sleep apnea?,pur_student3
What is I am having trouble breathing with my CPAP?,pur_student3
Which biological processes cause a hungry sensation?,pur_student3
What should I do if I have dry mouth after using the CPAP?,pur_student3
If your metabolism is higher can you lose weight faster?,pur_student3
Can you lose weight by taking a multivitamin every day?,pur_student3
How long do I have to wear the CPAP each night for it to be effective?,pur_student3
Is screening for obesity a regular thing?,pur_student3
How do I clean a CPAP?,pur_student3
Does insurance or Medicaid cover a CPAP machine?,pur_student3
What causes obesity?,pur_student3
What should I do if my nose is runny after using the CPAP?,pur_student3
At what body mass index am I considered obese?,pur_student3
What kind of mask should I get for my CPAP?,pur_student3
What causes human hunger?,pur_student3
Will I lose weight if I stop eating?,pur_student3
What surgery can I get to lose weight?,pur_student3
What are the side effects of a starvation diet?,pur_student3
Can bariatric surgery be fatal?,pur_student3
How does ghrelin relate to sleep apnea and obesity?,pur_student3
What are the associated costs with bariatric surgery?,pur_student3
What are common surgical procedures for weight loss?,pur_student3
How does leptin relate to OSA?,pur_student3
What are nonfatal perioperative complications to bariatric surgery?,pur_student3
What are common side effects after bariatric surgery?,pur_student3
What is the best treatment for obstructive sleep apnea?,pur_student3
What are some fatal effects to bariatric surgery?,pur_student3
How does leptin relate to obstructive sleep apnea and obesity?,pur_student3
What are nonfatal risks I should know before a bariatric surgery operation?,pur_student3
Is bariatric surgery for patients with mild obesity?,pur_student3
Is bariatric surgery for patients with extreme obesity?,pur_student3
Can I die from bariatric surgery?,pur_student3
What are postoperative complications to bariatric surgery?,pur_student3
Is bariatric surgery a one time deal?,pur_student3
What should my kids do before bedtime?,pur_student3
What age range is appropriate for bariatric surgery?,pur_student3
Does a patient need to do anything after bariatric surgery?,pur_student3
What is bariatric surgery for?,pur_student3
What is the pathophysiology of obesity?,pur_student3
What psychological evaluation must be performed before bariatric surgery?,pur_student3
Is bariatric surgery a good solution to obstructive sleep apnea in obese patients?,pur_student3
What medical evaluation should be performed before bariatric surgery?,pur_student3
Is bariatric surgery a good solution to OSA in obese patients?,pur_student3
What evaluations must be done before bariatric surgery?,pur_student3
What is the clinical use of bariatric surgery?,pur_student3
Does bariatric surgery require a lot from a patient?,pur_student3
What does a surgeon need to know before bariatric surgery?,pur_student3
What are the associated risks with bariatric surgery?,pur_student3
Does a patient need to know anything before bariatric surgery?,pur_student3
Do Genes Have a Role in Obesity?,pur_student4
What is Monogenic and Polygenic Obesity?,pur_student4
How Can You Tell If You or Your Family Members Are Overweight?,pur_student4
What is the relationship between obesity and family history?,pur_student4
What is the Thrifty genotype?,pur_student4
What are the different biomarkers in assessing obesity health risks?,pur_student4
What is the Ghrelin/ghrelin receptor/obestatin?,pur_student4
Can Public Health Genomics Help in tackling obesity?,pur_student4
What is reinforcing the dimension of obesity?,pur_student4
What are the risk factors associated with obesity?,pur_student4
What are the health issues with obesity?,pur_student4
How does obesity occur?,pur_student4
What is GAD2?,pur_student4
Is obesity heritable?,pur_student4
What is the mean BMI across the globe?,pur_student4
What is a genome-wide association study?,pur_student4
What is common obesity?,pur_student4
What happens if obesity is not treated?,pur_student4
How can childhood obesity be prevented?,pur_student4
What causes mutations in Multiple Genes?,pur_student4
What happens with consumption of fried food?,pur_student4
Does family history affect obesity?,pur_student4
What is monogenic and polygenic obesity?,pur_student4
What are energy-thrifty genes?,pur_student4
What are monogenic mutations?,pur_student4
What is epigenetics?,pur_student4
What is the BardetŠ—–Biedl gene?,pur_student4
What is Visfatin?,pur_student4
How Could Genes Influence Obesity?,pur_student4
What role does cytokines play in obesity?,pur_student4
What is common polygenic obesity?,pur_student4
Is obesity a chronic desease?,pur_student5
What is the obesity situation in Korea?,pur_student5
Does researchers use any information from WHO database?,pur_student5
What is KNHNES?,pur_student5
Are there gender disparities in obesity for people in a low income level?,pur_student5
What is the proportion of middle-school girls who were obese?,pur_student5
In what age group are there the most obese males?,pur_student5
What is the proportion of middle-school boys who were obese?,pur_student5
How does HDL matters to obesity?,pur_student5
How many schools are there in a research on childhood obesity?,pur_student5
What parameters are used for the result of obesity?,pur_student5
What is the obesity situation in developing countries?,pur_student5
What is the obesity situation in developed countries?,pur_student5
Which country or area has the most obese males?,pur_student5
What is the obesity situation in Arab countries?,pur_student5
Does sugar make contribution to obesity?,pur_student5
Does gender difference cause obesity?,pur_student5
Are there gender disparities in obesity for people in a high income level?,pur_student5
What is PHS?,pur_student5
In what age group are there the most obese females?,pur_student5
Which country or area has the most obese females?,pur_student5
What is the proportion of middle-school girls who were overweight?,pur_student5
What is the proportion of middle-school boys who were overweight?,pur_student5
How physical activities help keep weight?,pur_student5
What are other chronic diseases besides obesity?,pur_student5
Is obesity a global epidemic?,pur_student5
What is WC measurement for obesity?,pur_student5
Does alcohol effect obesity?,pur_student5
How much is the influence of the obesity crisis?,pur_student5
What is the importance of losing weight?,pur_student5
What exercises do I ought to do for keeping me from obesity?,pur_student5
How much do I need to run for exercise while keeping the weight of 130 pounds?,pur_student5
Does hunger cause weight loss no matter what any other things have been done to the subject?,pur_student5
"Why are the questions about the relationship between calories, macronutrients and hunger rarely being asked these days?",pur_student5
"How did the researchers find the subjects joining the experiment? That the starvation took a long time, which caused physiological as well as psychological effect, makes it difficult to ask people for joining the experiment.",pur_student5
What is TFR?,pur_student5
How come the men lost an average of one pound of body fat per week over the first 12 weeks during the experiment?,pur_student5
How many calories of food do I need to eat per meal while keeping the weight of 130 pounds?,pur_student5
What kind of food should I eat if I want to lose 6 percent of my weight?,pur_student5
"If hunger or starvation definitely give rise to losing weight, why is losing weight harder to be accomplished than what we think?",pur_student5
Can excess weight gain cause hypertension?,pur_student6
What kidney or renal conditions may develop after long sustained obesity?,pur_student6
"In obese patients, is weight loss enough to reduce hypertension?",pur_student6
Does renin-angiotensin-aldosterone system (RAAS) influence obesity-associated hypertension?,pur_student6
How is hypertension in children defined?,pur_student6
How can spontaneous hypertension be reduced?,pur_student6
Should TV time be reduced for obese children?,pur_student6
How can energy balance be related to obesity-induced hypertension?,pur_student6
Can time in front of the TV influence hypertension in obese children?,pur_student6
What conditions do obese children in Italy also suffer from?,pur_student6
What areas of Italy have higher rates of obesity?,pur_student6
Can drinking green tea help reduce obesity-related hypertension?,pur_student6
Are children in northern Italy more likely to be obese than those in southern Italy?,pur_student6
Does chronic kidney disease make it more difficult to control obesity-associated hypertension?,pur_student6
Can unilateral nephrectomy be a result of sustained obesity?,pur_student6
Are there side effects for prescribing green tea to manage hypertension?,pur_student6
Can kidney transplantation become more difficult as a result of sustained obesity?,pur_student6
Can unilateral renal agenesis be a result of sustained obesity?,pur_student6
Can interstitial fibrosis be an effect of sustained obesity?,pur_student6
Is there a correlation between childhood obesity and childhood hypertension?,pur_student6
Should obesity be addressed to children as early as possible?,pur_student6
Is there a link between the amount of time a child watches tv and childhood obesity?,pur_student6
Does obesity increase the chance of hypertension in children?,pur_student6
What is the cardiometabolic risk of being obese?,pur_student7
"Why was carnitine palmitoyltransferase I, was significantly lower in extremely obese skeletal muscle compared with non-obese controls?",pur_student7
Is obesity more common in children or older people?,pur_student7
Why the accumulation of IMTG is not believed to be the direct cause of the development of insulin resistance?,pur_student7
What is been identified as a metabolic risk factor for weight gain?,pur_student7
What exactly is founder mutation?,pur_student7
Why is BMI of females higher than that of males?,pur_student7
Why is reduced palmitate oxidation observed with extreme obesity?,pur_student7
In Canada what percentage of people were obese in 1985?,pur_student7
Why the accumulation of IMTG is not believed to be the direct?,pur_student7
How should the evaluation of an overweight person take place?,pur_student7
Why is higher long-chain fatty acyl-CoA accumulation in the skeletal muscle of overweight/obese and extremely obese subjects compared with normal-weight subject?,pur_student7
"Why long-chain fatty acyl-CoA content was higher in both the overweight/obese and extremely obese patients compared with normal-weight patients, despite significantly lower fatty acid oxidation only in the extremely obese?",pur_student7
What is the advantage of Dyrk1B?,pur_student7
Does indulging in cardiovascular exercises decreases the risk of being obese?,pur_student7
What are health risks associated with being obese?,pur_student7
What are the mechanism responsible for the accretion of IMTG and intermediates of lipid metabolism in intact skeletal muscle?,pur_student7
What is the WHO and NIH guidelines for Asians to be overweight?,pur_student7
What are the non-medical disorders that lead that to obesity?,pur_student7
What is the first step to determine the degree of overweight?,pur_student7
Why there is a defect in skeletal muscle fatty acid oxidation with extreme obesity but not with overweight/obese subjects?,pur_student7
How is metabolic syndrome defined?,pur_student7
what is Dyrk1B enzyme?,pur_student7
What is leptin and how is it measured?,pur_student7
Why is adiponectin so important?,pur_student7
What does epidemiological evidence suggest in regards to obesity?,pur_student7
What is the role of an adipose tissue?,pur_student7
Why adipose tissues thickness is largest in the abdominal region ?,pur_student7
What are the differences between males and females that persists even after body fat matching?,pur_student7
what is the project based on current obesity trends in US and UK,pur_student7
What is the role of AMP-activated protein kinase?,pur_student7
What role does chemokines play?,pur_student7
Why is the Leptin concentration already high in humans who are obese?,pur_student7
How is insulin resistance defined?,pur_student7
What are the after effects of Hypercortisolinemia?,pur_student7
What type of diseases are caused due to obesity?,pur_student7
Why fat cell number increases rapidly after increase in fat cell weight?,pur_student7
why are glucose levels is more elevated in women?,pur_student7
What is the main reason behind moderate expansion of body?,pur_student7
what king of multiple regression analyses are showed  in both women and men?,pur_student7
why regional differences exist between the sexes with regard to adipose tissue distribution?,pur_student7
How is the ratio of LDL cholesterol to HDL cholesterol affected by alcohol intake?,pur_student8
Does binge drinking affect hepatic steatosis in overweight European females?,pur_student8
How does BMI index correlate with percentage of body fat?,pur_student8
Does binge drinking affect hepatic steatosis in overweight European males?,pur_student8
What are non-fatal risks I should know before a bariatric surgery operation?,pur_student8
Why is the effect of alcohol on hepatic steatosis controversial?,pur_student8
what are the advantages of Dyrk1B?,pur_student8
Daily consumption of alcohol will have what affect on my patient's hepatic steatosis?,pur_student8
What is the controversy surrounding alcohol's effects on hepatic steatosis?,pur_student8
BMI correlates to percentage of body fat in what way?,pur_student8
"Who drinks more, people from the US or the UK?",pur_student8
How is EH affected by alcohol consumption?,pur_student8
How does the pattern of drinking affect the risk of cardiovascular disease?,pur_student8
How does heavy drinking affect TG/HDL-C ratio?,pur_student8
What is the status of obesity in southern Africa?,pur_student8
Does pattern of drinking matter in the risk for cardiovascular disease?,pur_student8
Does binge drinking affect the risk of stroke?,pur_student8
What happens to the lipid indices of occasional heavy drinkers?,pur_student8
What happens to systolic blood pressure in heavy drinkers?,pur_student8
What happens to diastolic blood pressure in heavy drinkers?,pur_student8
What happens to the ratio of LDL cholesterol to HDL cholesterol during alcohol intake?,pur_student8
What is LAP?,pur_student8
What happens to GTP in heavy drinkers?,pur_student8
How are hypertriglyceridemia and hypercholesterolemia related in terms of alcohol intake?,pur_student8
What happens to HDL Cholesterol in heavy drinkers?,pur_student8
How many more calories do men get from alcohol than women?,pur_student8
How does binge drinking affect the risk of stroke?,pur_student8
How much does the risk of obesity increase with the consumption of alcohol calories?,pur_student8
Is daily alcohol intake a risk factor for hypertriglyceridemia?,pur_student8
What percentage of total calorie intake is accounted for by alcohol in adult men in the US and UK?,pur_student8
What is happening to obesity rates in South Africa?,pur_student8
What is obesity?,pur_student8
How much alcohol does a patient need to consume daily to have an effect on hepatic steatosis?,pur_student8
"Who consumes more alcohol, people from the UK or the US?",pur_student8
How does daily alcohol intake affect hypertriglyceridemia?,pur_student8
How is essential hypertension affected by alcohol consumption?,pur_student8
Can men lose weight with humor?,pur_student9
How to use physical activity to maintain your weight?,pur_student9
How to use physical activity to lose weight?,pur_student9
How to determine BMI?,pur_student9
What is a reasonable weight loss goal?,pur_student9
Is global BMI increasing?,pur_student9
What sort of language should be used in male weight group interventions?,pur_student9
Can patients use short period of physical activity to lose weight?,pur_student9
Can the male interest in sports be used in weight loss?,pur_student9
"If patients don't adhere to their weight management programs, how to best reinforce the desired behavior?",pur_student9
What methods exist outside the prescriptive approach to diet and exercise?,pur_student9
What is the aim of behavior modification?,pur_student9
Does liposuction cure obesity?,pur_student9
Is there a difference between exercise and physical activity?,pur_student9
Does eating too much cause weight gain?,pur_student9
What are some environmental factors that prevent people from being more physically active?,pur_student9
How do caloric intake and physical activity affect weight?,pur_student9
How much physical activity is required to maintain your weight?,pur_student9
How much exercise to lose weight?,pur_student9
How are the best practices for male weight loss?,pur_student9
Should weight loss interventions be performed in groups or for individuals?,pur_student9
How much physical activity is appropriate for children?,pur_student9
Do the negatives of being physically active outweigh the benefits?,pur_student9
What is the rationale for weight loss in obese subjects?,pur_student9
What is the goal of behavioral therapy?,pur_student9
How long have the problems associated with being overweight been known?,pur_student9
Is BMI increasing worldwide?,pur_student9
Is obesity likelihood affected by socioeconomic status?,pur_student9
How much physical activity is required to lose weight?,pur_student9
How to lose weight with exercise?,pur_student9
How do I calculate my BMI?,pur_student9
What cognitive interventions can be used to help patients lose weight?,pur_student9
What are some realistic weight loss goals?,pur_student9
How much physical activity is recommended for people 65 years and older?,pur_student9
How should doctors respond to patient weight management program nonadherence?,pur_student9
How much physical activity is recommended for senior citizens?,pur_student9
What sort of cognitive strategies should be used to help patients lose weight?,pur_student9
How much physical activity is recommended for adults?,pur_student9
How much energy must be expended to maintain weight loss?,pur_student9
Is liposuction effective for treating obesity?,pur_student9
How can short bouts of physical activity help one lose weight?,pur_student9
