text,Category
What risks are associated with pre-pregnant obesity?,pregnancy
What are the physiological difference between normal and obese pregnant women ?,pregnancy
what factors can be used to predict higher BMI in children ?,children
What are the predictors for higher BMI in children ?,children
What is the prevalence of obesity in the southern United States?,geo-location
Does people in New Jersey who commute with trains more likely to be obese?,geo-location
How is local public transit system related to physical activity?,"exercise, geo-location"
What are some causes for Americans to be more obese than Europeans?,geo-location
I am from Indiana and I am 13. Am I more likely to be obese than other children of my age in the future?,geo-location
Does living in an African-American neighborhood increase the likelihood of me being obese?,geo-location
What caused the international obesity rates?,geo-location
Does the food prices in local grocery stores have any effects to children's weight?,diet
How do exercise and diets associate with obesity?,"exercise, diet"
How does the physical aspects of a neighborhood environment relate to obesity?,geo-location
What are the benefits of physical activity?,exercise
Will a bad sleeping pattern cause obesity?,sleep
Is there a higher chance for me to be obese if I live in the rural area where there is no supermarket in my neighborhood?,geo-location
"I moved from England to the United States last year, what are some possible factors that made me fatter?",geo-location
Am I more likely to be obese if I am from the southern United States?,geo-location
Which state has the highest rate of obesity?,geo-location
Does it affect my diets if there is only limited numbers of grocery stores near my neighborhood?,geo-location
Does the local fruit price affect my children's weight?,"children, diet"
I am from Utah and I am 10. Am I more likely to be obese than other children of my age in the future?,geo-location
Is the built environments of my neighborhood related to obesity?,geo-location
Does the local vegetable price affect my children's weight?,"children, diet"
Which state has the lowest rate of obesity?,geo-location
Does active transportation contribute to the lower obesity rate in Europe?,geo-location
Which state has a lower prevalence of obesity for children?,geo-location
Which state has a higher childhood obesity rate?,geo-location
Which state has the lowest prevalence of obese girls?,geo-location
What is the prevalence of obese boys in the United States?,"gender, geo-location"
What is the prevalence of obese girls in the United States?,"gender, geo-location"
Which state has the highest prevalence of children who are at risk of overweight?,geo-location
Which state has the lowest prevalence of children who are at risk of overweight?,geo-location
How many school aged children in the United States are overweight?,age
Which state has the lowest prevalence of obese boys?,geo-location
What are some factors for women to gain fat?,gender
What can cause the inaccuracy of the BMI classification?,BMI
Does eating less help with losing weight?,diet
How does gastric bypass surgery perform?,surgery
Is there any failure to achieve control of the diabetes with NIDDM?,diabetes
Does the NIDDM always success?,diabetes
Why does the NIDDM fail?,diabetes
What reasons cause the failure ot achieve control of the diabetes with NIDDM?,diabetes
What kind of patients have good glucose control?,diabetes
Does operations improve carbohydrate metabolism if they effect weight loss?,surgery
How many adult Americans have obesity?,"race, age, geo-location"
Which patients who do not return to euglycemia do tend to be?,diabetes
How much percentage of adult people in US are obese?,"race, age, geo-location"
Was gastric bypass more effective in producing weight loss?,surgery
How many adult people in Americans are morbidly obese?,surgery
Any facts about improvement after gastric bypass?,surgery
How many adult people in US exceeding their ideal body weight by 45 kg?,"race, age, geo-location"
Does surgery treated in obesity improve the diabetes?,"surgery, diabetes"
How does morbid obesity treated successfully with surgery help the diabetes?,"surgery, diabetes"
Is there any data supporting surgery of gastric bypass help the diabetes?,"surgery, diabetes"
What does gastric bypass operation do?,surgery
What does gastric bypass improve the NIDDM?,"surgery, diabetes"
What is the most grave consequence of sever obesity?,generic
What cause the relationship between obesity and diabetes?,diabetes
What is NIDDM?,diabetes
What does bariatric surgery do?,surgery
What does sever obesity lead to most gravely?,generic
What kind of disease is obesity?,generic
What is type 2 diabetes mellitus?,diabetes
Do 1000 calories of sugar and 1000 calories of fat work the same regard of preventing lose weight?,diet
What is type 1 diabetes mellitus?,diabetes
"Can I lose weight in a specific part of the body, such as my belly?",generic
What is diabetes mellitus?,diabetes
Is there a difference if I eat 2000 calories in one meal versus 3 meals?,diet
How many patients did 12 months of follow-up within the bariatric surgery study?,surgery
How many patients involved into the bariatric surgery study?,surgery
I weigh 190 pounds and I want to lose 20 pounds. How many calories do I need to eat each day to lose weight?,diet
Is any improvement for type 2 diabetes after bariatric surgery?,"surgery, diabetes"
How many hours I should run each time I go on a run?,exercise
Does bariatric surgery help the diabetes?,"surgery, diabetes"
Which age range is the best for bariatric surgery?,surgery
What kinds of approaches to solve obesity by operation in 1950s?,surgery
What are the earlier obesity operation solution?,surgery
What did the first morbid obesity operation do?,surgery
Can I use Vyvanse to treat binge eating disorder?,binge eating
What medications can be used to treat binge eating disorder?,binge eating
What medications can I used to reduce binge eating episodes?,binge eating
Can I use Topamax to reduce binge eating episodes?,binge eating
What is a CPAP machine?,CPAP
Does smoking make sleep apnea worse?,sleep apnea
Are genetic test useful for creating a workout schedule?,binge eating
Is a CPAP machine effective in treating sleep apnea?,CPAP
How is binge eating disorder related to obesity?,binge eating
What should I expect from my doctor about binge eating disorder?,binge eating
Do obese women have a lower chance to give birth to a healthy newborn?,gender
"If I want to lose weight, how many calories should I consume every day?",Diet
How is binge eating disorder diagnosed?,binge eating
Is obesity associated with menstrual disorders?,binge eating
Is obesity associated with infertility?,binge eating
How will my doctor diagnose binge eating disorder?,binge eating
Are antidepressants effective in reducing binge eating episodes?,binge eating
Is obesity linked to ethnicity?,Race
What is some treatment of binge eating disorder?,binge eating
Are there any psychiatric disorders connected to binge eating disorder?,binge eating
How does Vyvanse help binge eating episodes?,binge eating
Are there any psychiatric disorders linked to binge eating disorder?,binge eating
Are there any risks associated with obesity screening?,binge eating
In what way does the current environment promote obesity?,binge eating
What psychiatric disorders are connected to binge eating disorder?,binge eating
Is obesity prevalent in some developing countries?,location
What is Binge Eating Disorder?,binge eating
What psychiatric disorders are linked to binge eating disorder?,binge eating
What are the symptoms of binge eating disorder?,binge eating
"If my sister had binge eating disorder, could I get it?",binge eating
"If my dad had binge eating disorder, could I get it?",binge eating
How can I lose weight while maintaining my current activity habits and diet?,binge eating
Are there any alternatives to losing weight to solves problems caused by obesity?,binge eating
What environmental factors discourage people from becoming more active?,binge eating
How often do binge eating episodes occur?,binge eating
"If my brother had binge eating disorder, could I get it?",binge eating
Will losing weight increase my chance of pregnancy?,binge eating
Will starvation cure obesity?,binge eating
Is obesity linked to addiction?,binge eating
"If my mom had binge eating disorder, could I get it?",binge eating
What is BED?,binge eating
What is the DSM-4 criteria for current binge eating disorder?,binge eating
What is Binge Eating Disorder (BED)?,binge eating
"If I am obese, should I get screened?",binge eating
Is eating in secret a symptom of binge eating disorder?,binge eating
How do I stop binging eating?,binge eating
How do I know if I have binge eating disorder?,binge eating
What is my BMI score?,binge eating
Does binge eating disorder cause obesity?,binge eating
What is BED?,binge eating
Are black women fatter than white women?,binge eating
Is obesity more common in women or men?,binge eating
Will dieting trigger the urge to binge eat?,binge eating
Is depression a symptom of binge eating disorder?,binge eating
What age do most people develop binge eating disorder?,binge eating
What health risks are associated with obesity?,binge eating
"If my parents had binge eating disorder, could I get it?",binge eating
What factors can lead to developing binge eating order?,binge eating
Should I see a doctor about binge eating disorder?,binge eating
What are the common causes of obesity?,binge eating
When was binge eating first discovered?,binge eating
What is binge eating?,binge eating
When should I see a doctor about binge eating disorder?,binge eating
Will binge eating cause obesity?,binge eating
Is obesity a symptom of binge eating?,binge eating
Is binge eating more common in men or women?,gender
What BMI is obese for women?,gender
Is obesity a disease?,binge eating
Is obesity contagious?,binge eating
Should I get screened for obesity?,binge eating
Will consuming soft drinks lead to weight gain?,Diet
Is there a relationship between meal frequency and BMI?,Diet
Can fast food consumption cause obesity?,Diet
How do fruits help in preventing obesity?,Diet
What are the key dietary features of fruits?,Diet
Can food insecurity cause obesity?,Diet
How long should I exercise on a weekly basis to prevent weight gain?,Diet
What is the recommendation for bariatric surgery in asians?,Diet
What is the effect of dietary fat on obesity?,Diet
Can physical activity alone be sufficient to lose weight?,Diet
How effective is physical activity when combined with dietary intervention?,Diet
what is a very low calorie diet?,Diet
what are the effects of the different type of diets on weight loss?,Diet
What percentage of U.S adults are overweight?,Diet
what are low fat diets?,Diet
what is a low carbohydrate diet?,Diet
What are the environmental contributions to obesity?,Diet
what are the types of dietary regimens used in treating obesity?,Diet
what is a low calorie diet?,Diet
what is dietary intervention?,Diet
How to set a goal for weight loss?,Diet
what is the BMI cutoff for asians in determining obesity?,Race
Will eating fruits increase satiety?,Diet
Will breastfeeding act as a potential factor againt weight gain?,Diet
What are the advantages of unprocessed fruits over processed fruits?,Diet
How many adults were obese in 2009 in USA?,Race
What is the prevalence among non-Hispanic Asian adults?,Race
What is the prevalence of obesity in Asain.,Race
what is the prevalence of obesity among adults in USA?,Race
How many adults were obese in 2011Š—–2012 in USA?,Race
What is the majority of these obese adults in USA?,Race
"If I am a white men, is the possibility of obesity lower than Asain people?",Race
"If I am a non-Hispanic Asian men, is the possibility of obesity lower than white people?",Race
Is childhood obesity linked to race?,Race
Is childhood obesity related to the ethnicity?,Race
Is childhood obesity related to the income of the family?,Childhood obesity
What Explains Race and Gender Differences in the Relationship between Obesity and Wages?,Race
What are cultural factors associated with racial differences in childhood obesity?,Race
Does obesity relate to the area and the country where I born?,location
Does hunger help me to lose weight?,Diet
Does race affect obesity rates because of biological distinctions?,Race
Why childhood obesity is increasing in nonwhite populations?,Race
What is the prevalence of obesity among non-Hispanic white?,Race
How many children are overweight?,Race
What is the prevalence of childhood obesity in the United States?,Childhood obesity
Does obese children more likely to remain obese as adults?,Race
What is the relationship between ethnicity and obesity?,Race
Does ethnicity affect the proportion of all diabetes among children?,Childhood obesity
What are the differences in the prevalence of obesity among adults by race?,Race
"What are the prevalences of obesity among non-Hispanic Asian adults than among non-Hispanic white, non-Hispanic black, and Hispanic adults?",Race
Is ethnicity linked to childhood obesity?,"Race,Childhood obesity"
Will diet help me to lose weight?,Diet
What is the relationship between ethnicity and childhood obesity?,Race
Is obesity related to ethnicity?,Race
What is the relationship between race and obesity?,Race
Is obesity linked to race?,Race
What factors cause Left Ventricular Mass?,surgery
Which age groups are the most obese?,age
Does my risk of obesity increase as I age?,age
How prevalent is obesity in middle aged adults?,age
How prevalent is obesity in young adults?,age
At what age does the prevalence in obesity begin to fall?,age
Does the size of the obese population increase with age?,age
Are there any dangers to be aware of while trying to lose weight?,obesity
Does obesity lead to higher social anxiety?,obesity
Are there similar health problems that arise in people who are underweight and those who are overweight?,obesity
What is the average mortality rate of an obese male age 21?,age
Are there any safe medications I can take to help lose weight along with diet and exercise?,obesity
Are there other factors possibly causing my weight gain besides diet and exercise?,obesity
I am overweight and having trouble sleeping. Could this be a problem?,sleep apnea/deprivation
What age group is most likely to be obese?,age
What effect could obesity have on someone's personality?,obesity
What risks do obesity lead to in the future?,obesity
Does any race have a higher risk of becoming obese?,race
Which ages tend to have the fewest obese men?,age
Which age group tends to have the fewest obese women?,age
Which gender is more likely to be underweight?,gender
Which age group do people tend to be the least obese?,age
Which gender is more likely to be normal weight?,gender
Which gender has higher adult obesity rates?,gender
Are middle age men more likely to be obese than normal weight?,age
Are middle aged women more likely to be obese or normal weight?,age
Are women more likely to be obese than men?,gender
Are men more likely to be obese than women?,gender
How prevalent is obesity in the elderly?,age
What is LVM?,surgery
Can chocolate help you lose weight?,diet
"If I do not get enough sleep, will I gain weight?",sleep apnea/deprivation
Will I gain weight if I do not get enough sleep?,sleep apnea/deprivation
What is a common treatment for Sleep Apnea?,sleep apnea/deprivation
What are common treatments for obstructive sleep apnea besides a CPAP?,sleep apnea/deprivation
What can I do to mitigate sleep apnea?,sleep apnea/deprivation
What should I not do before bedtime?,sleep apnea/deprivation
What should I do if I am still sleepy despite using my CPAP nightly?,sleep apnea/deprivation
How do I know if I have sleep apnea?,sleep apnea/deprivation
What is I am having trouble breathing with my CPAP?,sleep apnea/deprivation
Which biological processes cause a hungry sensation?,sleep apnea/deprivation
What should I do if I have dry mouth after using the CPAP?,sleep apnea/deprivation
If your metabolism is higher can you lose weight faster?,metabolism
Can you lose weight by taking a multivitamin every day?,diet
How long do I have to wear the CPAP each night for it to be effective?,sleep apnea/deprivation
Is screening for obesity a regular thing?,obesity
How do I clean a CPAP?,sleep apnea/deprivation
Does insurance or Medicaid cover a CPAP machine?,sleep apnea/deprivation
What causes obesity?,obesity
What should I do if my nose is runny after using the CPAP?,sleep apnea/deprivation
At what body mass index am I considered obese?,obesity
What kind of mask should I get for my CPAP?,sleep apnea/deprivation
What causes human hunger?,diet
Will I lose weight if I stop eating?,diet
What surgery can I get to lose weight?,surgery
What are the side effects of a starvation diet?,diet
Can bariatric surgery be fatal?,surgery
How does ghrelin relate to sleep apnea and obesity?,sleep apnea/deprivation
What are the associated costs with bariatric surgery?,surgery
What are common surgical procedures for weight loss?,surgery
How does leptin relate to OSA?,sleep apnea/deprivation
What are nonfatal perioperative complications to bariatric surgery?,surgery
What are common side effects after bariatric surgery?,surgery
What is the best treatment for obstructive sleep apnea?,sleep apnea/deprivation
What are some fatal effects to bariatric surgery?,surgery
How does leptin relate to obstructive sleep apnea and obesity?,surgery
What are nonfatal risks I should know before a bariatric surgery operation?,surgery
Is bariatric surgery for patients with mild obesity?,surgery
Is bariatric surgery for patients with extreme obesity?,surgery
Can I die from bariatric surgery?,surgery
What are postoperative complications to bariatric surgery?,surgery
Is bariatric surgery a one time deal?,surgery
What should my kids do before bedtime?,sleep apnea/deprivation
What age range is appropriate for bariatric surgery?,surgery
Does a patient need to do anything after bariatric surgery?,surgery
What is bariatric surgery for?,surgery
What is the pathophysiology of obesity?,surgery
What psychological evaluation must be performed before bariatric surgery?,surgery
Is bariatric surgery a good solution to obstructive sleep apnea in obese patients?,surgery
What medical evaluation should be performed before bariatric surgery?,surgery
Is bariatric surgery a good solution to OSA in obese patients?,surgery
What evaluations must be done before bariatric surgery?,surgery
What is the clinical use of bariatric surgery?,surgery
Does bariatric surgery require a lot from a patient?,surgery
What does a surgeon need to know before bariatric surgery?,surgery
What are the associated risks with bariatric surgery?,surgery
Does a patient need to know anything before bariatric surgery?,surgery
Do Genes Have a Role in Obesity?,epi-genetics
What is Monogenic and Polygenic Obesity?,epi-genetics
How Can You Tell If You or Your Family Members Are Overweight?,epi-genetics
What is the relationship between obesity and family history?,epi-genetics
What is the Thrifty genotype?,epi-genetics
What are the different biomarkers in assessing obesity health risks?,epi-genetics
What is the Ghrelin/ghrelin receptor/obestatin?,epi-genetics
Can Public Health Genomics Help in tackling obesity?,epi-genetics
What is reinforcing the dimension of obesity?,epi-genetics
What are the risk factors associated with obesity?,epi-genetics
What are the health issues with obesity?,epi-genetics
How does obesity occur?,epi-genetics
What is GAD2?,epi-genetics
Is obesity heritable?,epi-genetics
What is the mean BMI across the globe?,epi-genetics
What is a genome-wide association study?,epi-genetics
What is common obesity?,epi-genetics
What happens if obesity is not treated?,epi-genetics
How can childhood obesity be prevented?,epi-genetics
What causes mutations in Multiple Genes?,epi-genetics
What happens with consumption of fried food?,epi-genetics
Does family history affect obesity?,epi-genetics
What is monogenic and polygenic obesity?,epi-genetics
What are energy-thrifty genes?,epi-genetics
What are monogenic mutations?,epi-genetics
What is epigenetics?,epi-genetics
What is the BardetŠ—–Biedl gene?,epi-genetics
What is Visfatin?,epi-genetics
How Could Genes Influence Obesity?,epi-genetics
What role does cytokines play in obesity?,epi-genetics
What is common polygenic obesity?,epi-genetics
Is obesity a chronic desease?,gender
What is the obesity situation in Korea?,gender
Does researchers use any information from WHO database?,gender
What is KNHNES?,gender
Are there gender disparities in obesity for people in a low income level?,gender
What is the proportion of middle-school girls who were obese?,gender
In what age group are there the most obese males?,gender
What is the proportion of middle-school boys who were obese?,gender
How does HDL matters to obesity?,gender
How many schools are there in a research on childhood obesity?,gender
What parameters are used for the result of obesity?,gender
What is the obesity situation in developing countries?,gender
What is the obesity situation in developed countries?,gender
Which country or area has the most obese males?,gender
What is the obesity situation in Arab countries?,gender
Does sugar make contribution to obesity?,gender
Does gender difference cause obesity?,gender
Are there gender disparities in obesity for people in a high income level?,gender
What is PHS?,gender
In what age group are there the most obese females?,gender
Which country or area has the most obese females?,gender
What is the proportion of middle-school girls who were overweight?,gender
What is the proportion of middle-school boys who were overweight?,gender
How physical activities help keep weight?,gender
What are other chronic diseases besides obesity?,gender
Is obesity a global epidemic?,gender
What is WC measurement for obesity?,gender
Does alcohol effect obesity?,gender
How much is the influence of the obesity crisis?,gender
What is the importance of losing weight?,gender
What exercises do I ought to do for keeping me from obesity?,gender
How much do I need to run for exercise while keeping the weight of 130 pounds?,gender
Does hunger cause weight loss no matter what any other things have been done to the subject?,gender
"Why are the questions about the relationship between calories, macronutrients and hunger rarely being asked these days?",gender
"How did the researchers find the subjects joining the experiment? That the starvation took a long time, which caused physiological as well as psychological effect, makes it difficult to ask people for joining the experiment.",gender
What is TFR?,gender
How come the men lost an average of one pound of body fat per week over the first 12 weeks during the experiment?,gender
How many calories of food do I need to eat per meal while keeping the weight of 130 pounds?,gender
What kind of food should I eat if I want to lose 6 percent of my weight?,gender
"If hunger or starvation definitely give rise to losing weight, why is losing weight harder to be accomplished than what we think?",gender
Can excess weight gain cause hypertension?,hypertension
What kidney or renal conditions may develop after long sustained obesity?,hypertension
"In obese patients, is weight loss enough to reduce hypertension?",hypertension
Does renin-angiotensin-aldosterone system (RAAS) influence obesity-associated hypertension?,hypertension
How is hypertension in children defined?,hypertension
How can spontaneous hypertension be reduced?,hypertension
Should TV time be reduced for obese children?,hypertension
How can energy balance be related to obesity-induced hypertension?,hypertension
Can time in front of the TV influence hypertension in obese children?,hypertension
What conditions do obese children in Italy also suffer from?,hypertension
What areas of Italy have higher rates of obesity?,hypertension
Can drinking green tea help reduce obesity-related hypertension?,hypertension
Are children in northern Italy more likely to be obese than those in southern Italy?,hypertension
Does chronic kidney disease make it more difficult to control obesity-associated hypertension?,hypertension
Can unilateral nephrectomy be a result of sustained obesity?,hypertension
Are there side effects for prescribing green tea to manage hypertension?,hypertension
Can kidney transplantation become more difficult as a result of sustained obesity?,hypertension
Can unilateral renal agenesis be a result of sustained obesity?,hypertension
Can interstitial fibrosis be an effect of sustained obesity?,hypertension
Is there a correlation between childhood obesity and childhood hypertension?,hypertension
Should obesity be addressed to children as early as possible?,hypertension
Is there a link between the amount of time a child watches tv and childhood obesity?,hypertension
Does obesity increase the chance of hypertension in children?,hypertension
What is the cardiometabolic risk of being obese?,metabolism
"Why was carnitine palmitoyltransferase I, was significantly lower in extremely obese skeletal muscle compared with non-obese controls?",metabolism
Is obesity more common in children or older people?,age
Why the accumulation of IMTG is not believed to be the direct cause of the development of insulin resistance?,metabolism
What is been identified as a metabolic risk factor for weight gain?,metabolism
What exactly is founder mutation?,metabolism
Why is BMI of females higher than that of males?,gender
Why is reduced palmitate oxidation observed with extreme obesity?,metabolism
In Canada what percentage of people were obese in 1985?,geo-location
Why the accumulation of IMTG is not believed to be the direct?,metabolism
How should the evaluation of an overweight person take place?,evaluation
Why is higher long-chain fatty acyl-CoA accumulation in the skeletal muscle of overweight/obese and extremely obese subjects compared with normal-weight subject?,metabolism
"Why long-chain fatty acyl-CoA content was higher in both the overweight/obese and extremely obese patients compared with normal-weight patients, despite significantly lower fatty acid oxidation only in the extremely obese?",metabolism
What is the advantage of Dyrk1B?,metabolism
Does indulging in cardiovascular exercises decreases the risk of being obese?,exercise
What are health risks associated with being obese?,evaluation
What are the mechanism responsible for the accretion of IMTG and intermediates of lipid metabolism in intact skeletal muscle?,metabolism
What is the WHO and NIH guidelines for Asians to be overweight?,race
What are the non-medical disorders that lead that to obesity?,metabolism
What is the first step to determine the degree of overweight?,evaluation
Why there is a defect in skeletal muscle fatty acid oxidation with extreme obesity but not with overweight/obese subjects?,metabolism
How is metabolic syndrome defined?,metabolism
what is Dyrk1B enzyme?,metabolism
What is leptin and how is it measured?,metabolism
Why is adiponectin so important?,metabolism
What does epidemiological evidence suggest in regards to obesity?,metabolism
What is the role of an adipose tissue?,metabolism
Why adipose tissues thickness is largest in the abdominal region ?,metabolism
What are the differences between males and females that persists even after body fat matching?,metabolism
what is the project based on current obesity trends in US and UK,metabolism
What is the role of AMP-activated protein kinase?,metabolism
What role does chemokines play?,metabolism
Why is the Leptin concentration already high in humans who are obese?,metabolism
How is insulin resistance defined?,metabolism
What are the after effects of Hypercortisolinemia?,metabolism
What type of diseases are caused due to obesity?,metabolism
Why fat cell number increases rapidly after increase in fat cell weight?,metabolism
why are glucose levels is more elevated in women?,metabolism
What is the main reason behind moderate expansion of body?,exercise
what king of multiple regression analyses are showed  in both women and men?,gender
why regional differences exist between the sexes with regard to adipose tissue distribution?,"gender,metabolism"
How is the ratio of LDL cholesterol to HDL cholesterol affected by alcohol intake?,alchohol consumption
Does binge drinking affect hepatic steatosis in overweight European females?,alchohol consumption
How does BMI index correlate with percentage of body fat?,evaluation
Does binge drinking affect hepatic steatosis in overweight European males?,alchohol consumption
What are non-fatal risks I should know before a bariatric surgery operation?,evaluation
Why is the effect of alcohol on hepatic steatosis controversial?,alchohol consumption
what are the advantages of Dyrk1B?,epi-genetics
Daily consumption of alcohol will have what affect on my patient's hepatic steatosis?,alchohol consumption
What is the controversy surrounding alcohol's effects on hepatic steatosis?,alchohol consumption
BMI correlates to percentage of body fat in what way?,evaluation
"Who drinks more, people from the US or the UK?",alchohol consumption
How is EH affected by alcohol consumption?,alchohol consumption
How does the pattern of drinking affect the risk of cardiovascular disease?,alchohol consumption
How does heavy drinking affect TG/HDL-C ratio?,alchohol consumption
What is the status of obesity in southern Africa?,geo-location
Does pattern of drinking matter in the risk for cardiovascular disease?,alchohol consumption
Does binge drinking affect the risk of stroke?,alchohol consumption
What happens to the lipid indices of occasional heavy drinkers?,alchohol consumption
What happens to systolic blood pressure in heavy drinkers?,alchohol consumption
What happens to diastolic blood pressure in heavy drinkers?,alchohol consumption
What happens to the ratio of LDL cholesterol to HDL cholesterol during alcohol intake?,alchohol consumption
What is LAP?,evaluation
What happens to GTP in heavy drinkers?,alchohol consumption
How are hypertriglyceridemia and hypercholesterolemia related in terms of alcohol intake?,alchohol consumption
What happens to HDL Cholesterol in heavy drinkers?,alchohol consumption
How many more calories do men get from alcohol than women?,"alchohol consumption,gender"
How does binge drinking affect the risk of stroke?,alchohol consumption
How much does the risk of obesity increase with the consumption of alcohol calories?,alchohol consumption
Is daily alcohol intake a risk factor for hypertriglyceridemia?,alchohol consumption
What percentage of total calorie intake is accounted for by alcohol in adult men in the US and UK?,alchohol consumption
What is happening to obesity rates in South Africa?,geo-location
What is obesity?,evaluation
How much alcohol does a patient need to consume daily to have an effect on hepatic steatosis?,alchohol consumption
"Who consumes more alcohol, people from the UK or the US?",alchohol consumption
How does daily alcohol intake affect hypertriglyceridemia?,alchohol consumption
How is essential hypertension affected by alcohol consumption?,alchohol consumption
Can men lose weight with humor?,treatment
How to use physical activity to maintain your weight?,exercise
How to use physical activity to lose weight?,exercise
How to determine BMI?,evaluation
What is a reasonable weight loss goal?,evaluation
Is global BMI increasing?,evaluation
What sort of language should be used in male weight group interventions?,treatment
Can patients use short period of physical activity to lose weight?,exercise
Can the male interest in sports be used in weight loss?,exercise
"If patients don't adhere to their weight management programs, how to best reinforce the desired behavior?",treatment
What methods exist outside the prescriptive approach to diet and exercise?,exercise
What is the aim of behavior modification?,treatment
Does liposuction cure obesity?,treatment
Is there a difference between exercise and physical activity?,exercise
Does eating too much cause weight gain?,evaluation
What are some environmental factors that prevent people from being more physically active?,exercise
How do caloric intake and physical activity affect weight?,exercise
How much physical activity is required to maintain your weight?,exercise
How much exercise to lose weight?,exercise
How are the best practices for male weight loss?,treatment
Should weight loss interventions be performed in groups or for individuals?,evaluation
How much physical activity is appropriate for children?,exercise
Do the negatives of being physically active outweigh the benefits?,exercise
What is the rationale for weight loss in obese subjects?,evaluation
What is the goal of behavioral therapy?,treatment
How long have the problems associated with being overweight been known?,evaluation
Is BMI increasing worldwide?,evaluation
Is obesity likelihood affected by socioeconomic status?,evaluation
How much physical activity is required to lose weight?,exercise
How to lose weight with exercise?,exercise
How do I calculate my BMI?,evaluation
What cognitive interventions can be used to help patients lose weight?,treatment
What are some realistic weight loss goals?,treatment
How much physical activity is recommended for people 65 years and older?,exercise
How should doctors respond to patient weight management program nonadherence?,evaluation
How much physical activity is recommended for senior citizens?,exercise
What sort of cognitive strategies should be used to help patients lose weight?,treatment
How much physical activity is recommended for adults?,exercise
How much energy must be expended to maintain weight loss?,evaluation
Is liposuction effective for treating obesity?,evaluation
How can short bouts of physical activity help one lose weight?,exercise
Who should be considered as candidates for drug therapy?,evaluation
When is a patient a candidate for bariatric surgery?,evaluation
Do the benefits of being physically active outweigh the potential harm?,exercise
How are stress and eating habits related?,stress eating
"If the prescriptive approach to diet and exercise fails, what should we try?",exercise
Should vagal blockade be used for weight management?,evaluation
Are individual or group weight loss interventions more successful?,evaluation
Do men know all the health benefits of weight loss?,evaluation
How can sports be used to help men lose weight?,exercise
What type of language should be used in group interventions for men?,treatment
How is weight reduction for men best achieved?,evaluation
Is physical activity the same as exercise?,exercise
How much physical activity should my child have?,exercise
Is insufficient physical activity a risk factor for death?,exercise
Can humor be used to help men lose weight?,evaluation
